"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Oral Surgery Associates of North Texas","4.9","448","5501 Independence Pkwy Ste 104","Plano","Texas","US","https://www.northtexasoralsurgery.com/","(972) 985-7555","Oral surgeon","Dental implants periodontist",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oral%20Surgery%20Associates%20of%20North%20Texas&query_place_id=ChIJuyVlI-8jTIYRD1752YS47OA","Oral surgeon"
"Chase Oaks Animal Clinic","4.5","121","141 W Spring Creek Pkwy #415","Plano","Texas","US","https://chaseoaksvet.com/","(972) 517-1970","Animal hospital","Veterinarian",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Chase%20Oaks%20Animal%20Clinic&query_place_id=ChIJZ_Xt8ccZTIYRwFXnoAlqCes","Animal hospital"
"Unique Salon Suites of Plano Lexington","4.6","31","2901 N Central Expy #125","Plano","Texas","US","https://www.facebook.com/uniquesalonsuites","(817) 875-0576","Beauty salon",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Unique%20Salon%20Suites%20of%20Plano%20Lexington&query_place_id=ChIJm2e60G0ZTIYRKy3QPL8tg0o","Beauty salon"
"DSA Dermatology","4.9","1451","5072 W Plano Pkwy #150","Plano","Texas","US","http://www.dsadermatology.com/","(972) 985-7100","Dermatologist","Laser hair removal service","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=DSA%20Dermatology&query_place_id=ChIJx2mWJV4iTIYR5rjlIJLxZIA","Dermatologist"
"Skin Magic Aesthetics","5","46","1805 Preston Rd Suite 101","Plano","Texas","US","http://skinmagicmedspa.com/","","Spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Magic%20Aesthetics&query_place_id=ChIJG3FBBiIjTIYRXIb_bXpyp2g","Spa"
"Herbal Homeocare - Dr. Kiran Parekh M.D - Plano Office","4.4","61","2828 W Parker Rd #102","Plano","Texas","US","https://dallas-homeopathy.com/","(469) 209-9264","Homeopath","Alternative medicine practitioner","Holistic medicine practitioner","Naturopathic practitioner",,,,,,,"https://www.google.com/maps/search/?api=1&query=Herbal%20Homeocare%20-%20Dr.%20Kiran%20Parekh%20M.D%20-%20Plano%20Office&query_place_id=ChIJ13d3YO0iTIYRogILIuPT5Ss","Homeopath"
"Themedspabyrayray","4.8","64","6200 Chase Oaks Blvd #101","Plano","Texas","US","https://linktr.ee/rayrayspa","(682) 521-6752","Medical spa","Medical clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Themedspabyrayray&query_place_id=ChIJn3mn9kQpTIYRHg6ibibhCgA","Medical spa"
"Mara Dacso, MD","4.3","12","8080 Independence Pkwy #150","Plano","Texas","US","https://innovative-dermatology.com/","(214) 919-3500","Dermatologist",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mara%20Dacso%2C%20MD&query_place_id=ChIJY_qg9e4pTIYRcrZpohuAHRg","Dermatologist"
"Fresenius Kidney Care Collin County","4","8","3420 K Ave STE 150","Plano","Texas","US","https://www.freseniuskidneycare.com/dialysis-centers/texas/1871?utm_campaign=Website&utm_medium=&utm_source=YextGMB&utm_content=1871&y_source=1_MjYyMzI1MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","(800) 881-5101","Dialysis center",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Fresenius%20Kidney%20Care%20Collin%20County&query_place_id=ChIJ2eN9064ZTIYRUBz2AKjh-_0","Dialysis center"
"AStylistDream","5","1","3033 W Parker Rd","Plano","Texas","US","https://www.styleseat.com/m/v/adriennegarrett?ncd_source=social_media&utm_campaign=vanity","(469) 783-6531","Beauty salon","Barber shop","Hair salon",,,,,,,,"https://www.google.com/maps/search/?api=1&query=AStylistDream&query_place_id=ChIJz5oDTxYjTIYRtZw6OvwQ8jM","Beauty salon"
"Stone International Wellness Center","5","85","1108 W Parker Rd Ste 102","Plano","Texas","US","https://www.stoneiwc.com/","(972) 473-2205","Holistic medicine practitioner",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Stone%20International%20Wellness%20Center&query_place_id=ChIJtZdWkHgjTIYR1-jXe7wCbjM","Holistic medicine practitioner"
"Abracadabra Electrolysis Inc","4.9","35","6200 Chase Oaks Blvd STE 103","Plano","Texas","US","http://hairremovalplano.com/","(972) 527-4247","Hair removal service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Abracadabra%20Electrolysis%20Inc&query_place_id=ChIJS2Qg6DUYTIYR2PKzJSEuQqw","Hair removal service"
"Park Mall Animal Clinic","4.8","729","2721 Dobie Dr","Plano","Texas","US","http://www.pmacplano.com/","(972) 423-1804","Animal hospital",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Park%20Mall%20Animal%20Clinic&query_place_id=ChIJjd6Z-wYZTIYRFi5SPCfGd9U","Animal hospital"
"Innovative Dermatology","4.8","1071","8080 Independence Pkwy #150","Plano","Texas","US","https://innovative-dermatology.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link&y_source=1_NjYyNDA1MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","(214) 919-3500","Dermatologist","Pediatric dermatologist","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Innovative%20Dermatology&query_place_id=ChIJi4Bhp-IXTIYRgQzrvCBWmAI","Dermatologist"
"Restore Hyper Wellness","4.9","279","1941 Preston Rd #1035","Plano","Texas","US","https://www.restore.com/locations/tx-plano-tx005?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk5MjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","(469) 969-2878","Medical spa","IV therapy service","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restore%20Hyper%20Wellness&query_place_id=ChIJrw3b2KsjTIYRjw4pGilRSB0","Medical spa"
"All About Beauty Academy","4.9","99","5501 Independence Pkwy Suite 310","Plano","Texas","US","http://www.allaboutbeautyacademy.com/","(469) 463-3090","Beauty school","Barber school","Education center","Esthetics service","Laser hair removal service","Permanent make-up clinic","Training center","Vocational school",,,"https://www.google.com/maps/search/?api=1&query=All%20About%20Beauty%20Academy&query_place_id=ChIJaRs_kE8ZTIYRUfWPqVaICIE","Beauty school"
"Exposé Skin | Facial Spa","5","43","6800 Alma Dr Ste 102","Plano","Texas","US","https://www.exposeskin.com/?fbclid=PAZXh0bgNhZW0CMTEAAaY-8bwebB9qZG-VX0ELJ-7OMJ_d9D1CwwSTiuKMx5XO1hgMRhVmG9FXnJI_aem_ilJgL61C2v4qCjVtRS5Pfw","(469) 235-5564","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Expos%C3%A9%20Skin%20%7C%20Facial%20Spa&query_place_id=ChIJ-Xnuey0YTIYRJ9qxTmjLFcU","Medical spa"
"Z Aesthetics & Wellness","5","11","Inside Unique Salon Suites Of Plano Lexington, 2901 N Central Expy ste 1","Plano","Texas","US","https://holisticcorewellness.com/","(469) 918-0162","Skin care clinic","Facial spa","Medical spa","Wellness center",,,,,,,"https://www.google.com/maps/search/?api=1&query=Z%20Aesthetics%20%26%20Wellness&query_place_id=ChIJq0A7-JWfToYRuTZG-reCRLg","Skin care clinic"
"Design Body Sculpting","5","4","4601 Old Shepard Pl #302-e","Plano","Texas","US","https://designbodysculpting.com/body-contouring-plano-texas/","(945) 444-7335","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Design%20Body%20Sculpting&query_place_id=ChIJA0vaAzwjTIYRJFZNoT1Px-g","Medical spa"
"Kouture Aesthetics Skincare Studio","5","1","3700 W 15th St suite 306A","Plano","Texas","US","https://kouture-aesthetics.square.site/","(469) 806-9564","Skin care clinic","Beauty salon","Eyebrow bar","Facial spa","Waxing hair removal service",,,,,,"https://www.google.com/maps/search/?api=1&query=Kouture%20Aesthetics%20Skincare%20Studio&query_place_id=ChIJy0glgk0jTIYRZnqSjifP6vI","Skin care clinic"
"IGLO Med Spa","5","13","4012 W Park Blvd","Plano","Texas","US","https://www.iglomedispa.com/","(469) 951-1272","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=IGLO%20Med%20Spa&query_place_id=ChIJk2z5_MMjTIYRovmzq4sI9So","Medical spa"
"Metamorph Med Spa","5","467","960 Ohio Dr Suite 200","Plano","Texas","US","https://www.metamorphmedspa.com/","(972) 519-3134","Medical spa","Health spa","IV therapy service","Skin care clinic","Weight loss service","Wellness center",,,,,"https://www.google.com/maps/search/?api=1&query=Metamorph%20Med%20Spa&query_place_id=ChIJXSQ8-eIjTIYRAIZoiBgLKsw","Medical spa"
"GLO30 Plano","5","16","4901 W Park Blvd Suite 531","Plano","Texas","US","https://glo30.com/dallas-plano/","(214) 997-6983","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GLO30%20Plano&query_place_id=ChIJiWVyyeMjTIYR4Da6uLkPDNs","Skin care clinic"
"Lift N Fill Aesthetics By Sandra (liftnfill)","5","51","6505 W Park Blvd Suite 160, Studio 105","Plano","Texas","US","https://liftnfillaestheticsbysandra.janeapp.com/","(469) 769-0108","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lift%20N%20Fill%20Aesthetics%20By%20Sandra%20(liftnfill)&query_place_id=ChIJIemB9B8lTIYRvNLPGoJrFmM","Medical spa"
"Brilliance Skin and Laser","4.9","56","5813 Preston Rd 554 Suite 202","Plano","Texas","US","https://www.brillianceskin.us/specials","(469) 450-0012","Medical spa","Facial spa","Laser hair removal service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Brilliance%20Skin%20and%20Laser&query_place_id=ChIJAYYeJzEjTIYRi62Ieo-SVE0","Medical spa"
"Advanced Dermasurgery Associates","4.6","76","5060 Tennyson Pkwy Ste 200","Plano","Texas","US","https://drposten.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link&y_source=1_NjYyNDA0ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","(972) 726-6647","Dermatologist","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Advanced%20Dermasurgery%20Associates&query_place_id=ChIJ-fOpaJYyTIYRWcN6bm2lnKE","Dermatologist"
"beem® Light Sauna West Plano","4.9","72","2108 Dallas Pkwy #216A","Plano","Texas","US","https://beemlightsauna.com/west-plano/","(214) 789-5425","Health spa","Sauna","Spa","Wellness center",,,,,,,"https://www.google.com/maps/search/?api=1&query=beem%C2%AE%20Light%20Sauna%20West%20Plano&query_place_id=ChIJJV6F-GAjTIYREzW0hsBD9S4","Health spa"
"Gorgeous Glow Spa","5","1","5805 Saintsbury Dr W #101","The Colony","Texas","US","https://www.gorgeousglowlaser.com/","(214) 297-7593","Laser hair removal service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gorgeous%20Glow%20Spa&query_place_id=ChIJ0bF0TYwlTIYRmkiuQttocck","Laser hair removal service"
"It's A Secret Med Spa","4.7","378","8232 Preston Rd Suite 115","Plano","Texas","US","https://secretmedspa.com/plano-tx/","(469) 786-5874","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=It's%20A%20Secret%20Med%20Spa&query_place_id=ChIJAQCQZ8M8TIYR76vlNNqSr9U","Medical spa"
"Simplicity Laser","4.8","230","7200 Bishop Rd Ste D260","Plano","Texas","US","https://simplicitylaser.com/pages/laser-hair-removal-in-plano-tx","(800) 559-9138","Laser hair removal service","Hair removal service","Health and beauty shop","Medical spa","Skin care clinic",,,,,,"https://www.google.com/maps/search/?api=1&query=Simplicity%20Laser&query_place_id=ChIJlTbzvrQ9TIYRiwqB5CTp9mI","Laser hair removal service"
"Luxe Image Med Spa","5","6","5300 W Plano Pkwy #115","Plano","Texas","US","http://www.luxeimagemedspa.com/","(469) 543-9335","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Luxe%20Image%20Med%20Spa&query_place_id=ChIJufsuQbsjTIYRpn8pNItVrv4","Medical spa"
"Sterling Salon Suites","4.6","55","3645 Dallas Pkwy suite 501","Plano","Texas","US","https://sterlingsalonsuites.com/","(214) 308-0177","Coworking space","Beauty salon","Hair removal service","Hair salon","Make-up artist","Massage therapist","Skin care clinic","Stylist",,,"https://www.google.com/maps/search/?api=1&query=Sterling%20Salon%20Suites&query_place_id=ChIJuXLimmAjTIYRXOGMTOjSydg","Coworking space"
"City Salon Suites & Spa - Plano","4.7","40","5813 Preston Rd #554","Plano","Texas","US","http://citysalonsuites.com/","(972) 383-9787","Beauty salon","Barber shop","Day spa","Eyelash salon","Hair salon","Make-up artist","Massage therapist","Medical spa","Nail salon","Waxing hair removal service","https://www.google.com/maps/search/?api=1&query=City%20Salon%20Suites%20%26%20Spa%20-%20Plano&query_place_id=ChIJB3zPjiEjTIYRPA5l7Utv-78","Beauty salon"
"The Plush Studio by Erika","5","1","5964 W Parker Rd Suite 116","Plano","Texas","US","http://www.theplushstudio.com/","(832) 322-2482","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Plush%20Studio%20by%20Erika&query_place_id=ChIJPx8inOrHQIYRZh1P9GYltTI","Skin care clinic"
"Plano Plastic Spa","4.9","74","4100 W 15th St STE 106","Plano","Texas","US","https://planoplasticspa.com/?utm_source=google&utm_medium=gbp&utm_campaign=gmb","(972) 599-2900","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plano%20Plastic%20Spa&query_place_id=ChIJ238AKWgiTIYR3OGSqt5xWkg","Medical spa"
"Renaissance Plastic Surgery","4.8","519","5880 Ashmill Dr STE 200","Plano","Texas","US","https://www.renaissanceplasticsurgerytx.com/","(972) 378-3870","Plastic surgeon","Cosmetic surgeon","Hair transplantation clinic","Plastic surgery clinic","Surgeon",,,,,,"https://www.google.com/maps/search/?api=1&query=Renaissance%20Plastic%20Surgery&query_place_id=ChIJxZS2PF8jTIYRp0UTx7teTAA","Plastic surgeon"
"OVME","4.7","160","7500 Windrose Ave. Suite B192","Plano","Texas","US","https://ovme.com/pages/legacy-west-plano-tx","(469) 915-6863","Medical spa","Laser hair removal service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=OVME&query_place_id=ChIJX0R_nmg9TIYROzWzfs-ym2s","Medical spa"
"Vida Bela Plastic Surgery: Chelsea Snider MD","4.9","378","3108 Midway Rd STE 102","Plano","Texas","US","http://www.vidabelaplasticsurgery.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb","(469) 598-2400","Plastic surgeon","Beauty product supplier","Cosmetic surgeon","Laser hair removal service","Medical spa","Pediatric surgeon","Plastic surgery clinic","Skin care clinic","Spa","Surgeon","https://www.google.com/maps/search/?api=1&query=Vida%20Bela%20Plastic%20Surgery%3A%20Chelsea%20Snider%20MD&query_place_id=ChIJVWcTPVk9TIYRrJHdmg74wuw","Plastic surgeon"
"Lam Facial Plastics - Samuel M. Lam, MD, FACS","4.6","396","6101 Chapel Hill Blvd Suite 101","Plano","Texas","US","https://www.lamfacialplastics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Samuel-M-Lam-MD-FACS-LamFacial-Plastics&utm_content=website","(972) 312-8188","Plastic surgeon","Facial spa","Plastic surgery clinic","Skin care clinic","Surgical center",,,,,,"https://www.google.com/maps/search/?api=1&query=Lam%20Facial%20Plastics%20-%20Samuel%20M.%20Lam%2C%20MD%2C%20FACS&query_place_id=ChIJV4Kztn0jTIYRmp1npkS94Z0","Plastic surgeon"
"Scott Harris, MD","4.7","65","6020 W Plano Pkwy","Plano","Texas","US","https://www.scottharrismd.com/","(972) 543-2474","Plastic surgeon","Hair replacement service","Hair transplantation clinic","Plastic surgery clinic","Skin care clinic","Surgical center",,,,,"https://www.google.com/maps/search/?api=1&query=Scott%20Harris%2C%20MD&query_place_id=ChIJ87k4kmUiTIYRaI1wEio0nM0","Plastic surgeon"
"LifeSpa","4.9","65","7100 Preston Rd","Plano","Texas","US","https://my.lifetime.life/clubs/tx/plano/services/lifespa.html","(972) 202-8124","Hair salon","Beauty salon","Day spa","Facial spa","Massage spa","Massage therapist","Nail salon","Spa","Waxing hair removal service",,"https://www.google.com/maps/search/?api=1&query=LifeSpa&query_place_id=ChIJwczoBSsjTIYR8hpsvxJOv5U","Hair salon"
"Johnny Rodriguez The Salon","4.8","502","7500 Windrose Ave. b193","Plano","Texas","US","https://www.johnnyrodriguezsalon.com/","(214) 987-1919","Hair salon","Beauty salon","Hair extension technician","Stylist","Hairdresser",,,,,,"https://www.google.com/maps/search/?api=1&query=Johnny%20Rodriguez%20The%20Salon&query_place_id=ChIJ5y1r6E09TIYRPURgvqRvXgU","Hair salon"
"sugaringLA","5","112","5700 Legacy Dr A3","Plano","Texas","US","https://www.sugaringla.com/plano-tx/","(972) 608-3668","Waxing hair removal service","Eyebrow bar","Eyelash salon","Facial spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=sugaringLA&query_place_id=ChIJDb5orS49TIYRAKUs-xXIfl8","Waxing hair removal service"
"Total Med Solutions","4.8","910","6101 Windcom Ct #300","Plano","Texas","US","https://totalmedsolutions.com/","(214) 987-9203","Medical spa","Health spa","Women's health clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Total%20Med%20Solutions&query_place_id=ChIJwdaTIF8jTIYR4AGCX3n8fno","Medical spa"
"Pooyan Rohani, M.D.","5","146","6000 Spring Creek Pkwy","Plano","Texas","US","http://rohanimd.com/","(972) 316-4555","Dermatologist","Surgeon",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pooyan%20Rohani%2C%20M.D.&query_place_id=ChIJczyVz1YjTIYRzlhXDoxz6KI","Dermatologist"
"Sugaring NYC - Plano","4.9","246","4025 Preston Rd #606","Plano","Texas","US","https://www.sugaringnyc.com/locations/sugaringnyc-plano-texas/","(972) 378-6599","Waxing hair removal service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sugaring%20NYC%20-%20Plano&query_place_id=ChIJY1I95CkjTIYRE6ciVCPZg8c","Waxing hair removal service"
"Renue Boutique MedSpa","5","1","5048 Tennyson Pkwy Suite 142","Plano","Texas","US","https://renueboutiquemedspa.com/","(469) 910-0880","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Renue%20Boutique%20MedSpa&query_place_id=ChIJqRQpY5YjTIYReFSGKAiTgHc","Medical spa"
"Plano Animal Clinic","4.8","94","3205 Alma Dr #415","Plano","Texas","US","http://www.planoanimalclinic.com/","(972) 422-5116","Veterinarian",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plano%20Animal%20Clinic&query_place_id=ChIJgw6nvlAYTIYRseMlRZVNKf8","Veterinarian"
"Joseph R. Yaker, MD - YAKER Hair Restoration + Med Spa","4.6","141","PARKER PRESTON OFFICE BUILDING, 3242 Preston Rd #160","Plano","Texas","US","https://www.yakermd.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB","(972) 468-8301","Hair transplantation clinic","Medical spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Joseph%20R.%20Yaker%2C%20MD%20-%20YAKER%20Hair%20Restoration%20%2B%20Med%20Spa&query_place_id=ChIJh4oyKGgiTIYR01TjBFD0nK0","Hair transplantation clinic"
"Live Young Wellness Spa - Allen","4.8","21","820 Alma Dr Ste 130","Allen","Texas","US","https://liveyoungspa.com/","(945) 215-7700","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Live%20Young%20Wellness%20Spa%20-%20Allen&query_place_id=ChIJwWk5XIAXTIYRwf1Cgo8Thaw","Medical spa"
"Evolve Dermatology","4.9","156","2000 Dallas Pkwy Suite 200","Plano","Texas","US","https://www.evolvederm.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Evolve-Dermatology-Plano&utm_content=website","(214) 550-4890","Dermatologist","Pediatric dermatologist","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Evolve%20Dermatology&query_place_id=ChIJFSbgyWojTIYR0sqPPMrRxh4","Dermatologist"
"OVA Skin Care","5","3","6101 Chapel Hill Blvd","Plano","Texas","US","https://www.ovaskincare.com/","(972) 312-8101","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=OVA%20Skin%20Care&query_place_id=ChIJiyjxs30jTIYRoB0FBIk7xAI","Skin care clinic"
"Beauty Lab by Irina","4.9","72","3645 Dallas Pkwy suite 501 #113","Plano","Texas","US","https://beautylabbyirina.zoca.com/?utm_source=googlemaps&utm_medium=googlemaps&utm_campaign=googlemaps","(786) 604-1991","Facial spa","Beauty salon","Eyebrow bar","Eyelash salon","Skin care clinic","Waxing hair removal service",,,,,"https://www.google.com/maps/search/?api=1&query=Beauty%20Lab%20by%20Irina&query_place_id=ChIJI7_vTe0jTIYRpI_KHvqjAp8","Facial spa"
"Skin Laundry - Plano","4.5","252","5700 Legacy Dr A2","Plano","Texas","US","https://www.skinlaundry.com/locations/plano","(972) 737-9058","Skin care clinic","Facial spa","Hair removal service","Laser hair removal service","Medical spa",,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Laundry%20-%20Plano&query_place_id=ChIJpRvTbcA9TIYRrUEIxU6ONJA","Skin care clinic"
"Innovative Dermatology: West Plano Medical Village","4.8","700","5655 W Spring Creek Pkwy Suite 105","Plano","Texas","US","http://www.innovative-dermatology.com/","(214) 919-3500","Dermatologist","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Innovative%20Dermatology%3A%20West%20Plano%20Medical%20Village&query_place_id=ChIJ_UnmgjcjTIYRNEMnwZzzLgQ","Dermatologist"
"RX MD Solutions MedSpa","5","113","5040 Tennyson Pkwy Suite B","Plano","Texas","US","https://www.rxmdsolutions.com/","(972) 200-2019","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RX%20MD%20Solutions%20MedSpa&query_place_id=ChIJF8QmPs0jTIYRqYXtRJHNhW8","Medical spa"
"Skin Pharm","5","180","5801 Headquarters Dr suite 920","Plano","Texas","US","https://skinpharm.com/pages/skincare-plano","(214) 548-3575","Skin care clinic","Health and beauty shop","Medical spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Pharm&query_place_id=ChIJcZWVxaY9TIYRKSMDnriJuiI","Skin care clinic"
"Skin M.D. and Beyond","4.3","43","6517 Preston Rd","Plano","Texas","US","https://www.skinmdandbeyond.com/","(972) 608-0808","Dermatologist","Cosmetics store","Plastic surgery clinic","Skin care clinic","Weight loss service",,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20M.D.%20and%20Beyond&query_place_id=ChIJ2QFlCCYjTIYRALXrAcSmltU","Dermatologist"
"Down South Sugaring","5","161","3645 Dallas Pkwy suite 501","Plano","Texas","US","http://downsouthsugaring.com/","(972) 815-3418","Hair removal service","Waxing hair removal service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Down%20South%20Sugaring&query_place_id=ChIJuXLimmAjTIYR1cMIeGacrEc","Hair removal service"
"WEIMEI MED SPA & ANTI-AGING CENTER","5","63","4666 McDermott Rd STE 200","Plano","Texas","US","https://weimeimedspa.com/","(469) 609-9800","Medical spa","Skin care clinic","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=WEIMEI%20MED%20SPA%20%26%20ANTI-AGING%20CENTER&query_place_id=ChIJOYqb4tY9TIYRBtyDAucBHsg","Medical spa"
"Laser Essentials Medical Spa","5","31","1212 Coit Rd # 107","Plano","Texas","US","https://laseressentials.net/","(972) 599-0745","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Laser%20Essentials%20Medical%20Spa&query_place_id=ChIJyXfyJN8jTIYRgic3V0ZTfZg","Medical spa"
"McGuiness Dermatology","4.9","2447","6000 W Spring Creek Pkwy Suite 200","Plano","Texas","US","https://mcguinessdermatology.com/","(972) 316-4555","Dermatologist","Plastic surgeon","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=McGuiness%20Dermatology&query_place_id=ChIJUTM9KV8jTIYRo1-2073fMiU","Dermatologist"
"Forever Young Skin and Body","4.1","45","3501 Midway Rd #220","Plano","Texas","US","http://foreveryoungskinbody.com/","(469) 535-1574","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Forever%20Young%20Skin%20and%20Body&query_place_id=ChIJ41XP1p4kTIYRv-jsZVozLVU","Skin care clinic"
"Skin Theory LLC","5","65","6833 Coit Rd # 102","Plano","Texas","US","http://skintheoryllc.com/","(469) 456-7548","Skin care clinic","Cosmetics store","Facial spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Theory%20LLC&query_place_id=ChIJbdrfQ7UZTIYRuWskko-okTE","Skin care clinic"
"Roz Laser & MedSpa","5","27","3921 W Park Blvd Ste 150","Plano","Texas","US","https://www.rozlasermedspa.com/","(469) 514-7991","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Roz%20Laser%20%26%20MedSpa&query_place_id=ChIJC0epLlgjTIYR_nkShXM7Z_U","Medical spa"
"Original Skin","4.9","56","6101 Chapel Hill Blvd STE 201","Plano","Texas","US","https://originalskindfw.com/","(469) 809-2699","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Original%20Skin&query_place_id=ChIJ4SUAnCEjTIYRkia96qbIyvE","Medical spa"
"Radiant Refine Medspa","4.9","41","3604 Preston Rd Suite 200","Plano","Texas","US","https://www.radiantrefinespa.com/","(945) 387-5171","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Radiant%20Refine%20Medspa&query_place_id=ChIJAzB4eBAjTIYRUEFk0mBalPo","Medical spa"
"Next Level Med Solutions","5","29","3300 Dallas Pkwy Suite 110","Plano","Texas","US","https://www.nextlevelmedsolutions.com/","(972) 378-7657","Medical spa","Facial spa","Health and beauty shop","IV therapy service","Laser hair removal service","Skin care clinic","Spa","Weight loss service",,,"https://www.google.com/maps/search/?api=1&query=Next%20Level%20Med%20Solutions&query_place_id=ChIJo8Pt3mYjTIYRc3CJgFM7lwo","Medical spa"
"Diamond Shine Skin Lounge","5","24","4909 W Park Blvd Suite 12","Plano","Texas","US","https://www.diamondshineskinlounge.com/","(469) 363-6600","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Diamond%20Shine%20Skin%20Lounge&query_place_id=ChIJlRu_-m0jTIYR7SnzaUkjuxE","Skin care clinic"
"Wellness at the Spa","5","125","6529 W Plano Pkwy Ste B","Plano","Texas","US","https://wellnessatthespa.com/","(214) 489-7757","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wellness%20at%20the%20Spa&query_place_id=ChIJTcCgo10hTIYR5Dt-0TCMZnI","Medical spa"
"Trissa Connors, MD, FAAD","4.9","178","2000 Dallas Pkwy Suite 200","Plano","Texas","US","https://www.evolvederm.com/","(214) 550-4890","Dermatologist",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Trissa%20Connors%2C%20MD%2C%20FAAD&query_place_id=ChIJtTllSGsjQYYRThLJaA3Bkgs","Dermatologist"
"Village Aesthetics","4.8","22","5425 W Spring Creek Pkwy #210","Plano","Texas","US","https://villageaesthetics.com/","(972) 433-5077","Medical spa","Hair removal service","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Village%20Aesthetics&query_place_id=ChIJCfQf1_sjTIYRNkhbkQPbb1g","Medical spa"
